MONTH,CITY,STORE,STATUS,ZONE_MAPPING,ORDER_COUNT,CART_SALES,DISCOUNT,NET_REVENUE,IDEAL_FOOD_COST,GROSS_MARGIN,KITCHEN_EBITDA,VARIANCE,REVENUE_COHORT,CM_COHORT,EBITDA_CATEGORY,EBITDA_COHORT,VARIANCE_CATEGORY,REVENUE_BUCKET,GM_PERCENT
Feb-2024,Pune,Burke-Johnson,Inactive,North,11146,4381711.1,1013913.47,3425425.48,1089716.58,2208709.54,933086.35,2.925297,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,Var 2%-3%,25L-35L,64.47985959396787
Mar-2024,Pune,Burke-Johnson,Inactive,North,9838,3794151.56,960963.68,2874080.55,1371007.42,1401403.5,117905.37,1.692609,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,Var <2%,25L-35L,48.76006345751166
Oct-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,14421,5577614.93,1170048.13,4483468.22,2065873.71,2351301.07,1050945.26,1.2015559999999998,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,Var <2%,35L-45L,52.44379918901265
Nov-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,10969,3376177.32,819526.81,2644431.32,1013370.81,1546226.85,159944.35,2.479818,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,Var 2%-3%,25L-35L,58.47105342860635
Dec-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,9914,3178674.01,907139.32,2365666.17,1081522.81,1202212.0,-261736.42,2.775408,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,Var 2%-3%,15L-25L,50.819173696008
Jan-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,11330,4998414.14,1476020.66,3620911.06,1327698.47,2228552.11,801787.76,1.507364,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,Var <2%,35L-45L,61.54672327135259
Feb-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,11849,4665331.99,739200.82,4062250.34,1470036.08,2455354.35,1105067.24,2.168629,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,Var 2%-3%,35L-45L,60.44320621559724
Mar-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,9703,4341317.63,1247209.12,3132695.53,1320585.78,1739170.28,537696.83,2.753323,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,Var 2%-3%,25L-35L,55.51673513576342
Oct-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,14418,4455792.56,685991.75,3830318.81,1853963.93,1842522.01,401871.45,2.212349,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,Var 2%-3%,35L-45L,48.10362012659724
Nov-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,12565,5976468.54,1575097.51,4503951.14,1587267.59,2769886.17,1315242.73,2.094893,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,Var 2%-3%,Above 45L,61.499027940165455
Dec-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,14648,6690189.87,1401470.46,5361176.63,1852339.91,3360833.46,2137141.69,1.384578,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,Var <2%,Above 45L,62.68835541051742
Jan-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,14570,6765697.92,1365063.41,5505983.64,1756495.56,3667329.8,2350484.37,2.441032,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,Var 2%-3%,Above 45L,66.60626038474753
Feb-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,13809,4244011.67,797303.55,3511048.4,1390623.26,2043500.82,759968.87,1.255161,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,Var <2%,35L-45L,58.202012253661906
Mar-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,9472,3480859.28,991860.79,2567561.09,853542.67,1615237.44,208088.25,2.641723,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var 2%-3%,25L-35L,62.90940637365712
Oct-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,11289,4643759.26,1094728.65,3616787.42,1229669.88,2276055.54,1072785.79,1.943152,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,Var <2%,35L-45L,62.93031012588515
Nov-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,9038,4147157.61,688448.43,3582637.27,1289983.3,2170494.31,741013.81,2.2482029999999997,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,Var 2%-3%,35L-45L,60.583702630883415
Dec-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,12984,5836592.04,1315614.88,4629289.63,1455473.21,3061045.61,1677037.5,2.642515,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,Var 2%-3%,Above 45L,66.12344127623744
Jan-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14326,5383199.55,1176498.44,4296415.95,1266619.08,2923246.04,1498733.71,2.837501,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,Var 2%-3%,35L-45L,68.03917670029132
Feb-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14300,6928348.23,1774251.57,5262559.31,2494037.5,2707198.01,1313916.1,1.6926919999999999,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,Var <2%,Above 45L,51.442612814942315
Mar-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,10281,4072996.99,1172079.05,2969557.18,887081.7,1954425.91,647594.81,1.936464,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,Var <2%,25L-35L,65.81539911617395
Oct-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10376,3188647.87,704085.47,2574624.99,940559.68,1568541.29,219837.94,1.208217,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,Var <2%,25L-35L,60.92309738669941
Nov-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10310,4267192.53,1208123.59,3197252.36,1497202.46,1635941.72,329574.78,2.661309,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var 2%-3%,25L-35L,51.1671127517754
Dec-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7804,2980209.71,693813.91,2398553.71,904601.84,1363966.34,101722.41,1.54811,More than 40 lacs,More than 30%,EBITDA -ve,More than 20%,Var <2%,15L-25L,56.86619958991871
Jan-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,14184,5404807.78,1214026.49,4256906.66,1461225.1,2696254.17,1297672.79,2.898614,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,Var 2%-3%,35L-45L,63.338343669485106
Feb-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,11150,4824986.7,1401776.66,3479490.15,1358792.01,2037273.75,759698.08,1.2736370000000001,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,Var <2%,25L-35L,58.55092735353771
Mar-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7329,3210923.19,732716.94,2595087.22,1052324.42,1402426.42,89210.96,2.490129,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,Var 2%-3%,25L-35L,54.041590941209286
Oct-2023,Mumbai,Bailey Inc,Active,North,9419,4416662.16,873903.17,3583341.94,1549617.88,1911247.38,546816.39,2.995868,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,Var 2%-3%,35L-45L,53.337008077995485
Nov-2023,Mumbai,Bailey Inc,Active,North,11124,5044040.51,1060709.45,4118934.08,1524382.92,2520673.45,1297132.64,2.758237,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%,Var 2%-3%,35L-45L,61.197227269051126
Dec-2023,Mumbai,Bailey Inc,Active,North,12421,5218803.5,1490274.2,3800285.2,1723616.73,2021973.93,593259.44,2.245875,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,Var 2%-3%,35L-45L,53.205847024323326
Jan-2024,Mumbai,Bailey Inc,Active,North,7892,3215160.43,768233.62,2519758.05,1196721.0,1192085.44,-88668.46,2.649362,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,Var 2%-3%,25L-35L,47.30952005491162
Feb-2024,Mumbai,Bailey Inc,Active,North,8591,3714940.86,860257.1,2942939.44,939439.42,1929631.02,484621.92,1.386266,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,Var <2%,25L-35L,65.56815249993727
Mar-2024,Mumbai,Bailey Inc,Active,North,12644,5353284.79,1590878.07,3854964.19,1694578.06,2014086.93,614591.54,2.9377560000000003,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,Var 2%-3%,35L-45L,52.246579494166454
Oct-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,10747,4615994.79,1103958.45,3604570.96,1052070.84,2455646.18,950537.86,2.929041,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,Var 2%-3%,35L-45L,68.12589368472302
Nov-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8682,3080747.28,916820.06,2208132.57,799837.21,1310974.37,-204707.75,2.371131,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var 2%-3%,15L-25L,59.37027458455542
Dec-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8763,3607574.05,663184.02,3052380.21,966092.96,1968241.59,443998.81,2.551609,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,Var 2%-3%,25L-35L,64.48218945830475
Jan-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,11337,4141318.37,942799.07,3241757.49,1317276.92,1794421.9,563602.76,2.7896330000000003,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,Var 2%-3%,25L-35L,55.35336636177556
Feb-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7899,3313592.37,886634.09,2525683.07,1038077.34,1376031.53,95872.23,1.407157,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,Var <2%,25L-35L,54.48155971524963
Mar-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7902,3101729.32,869231.34,2310044.01,680080.85,1522095.62,100781.72,1.359366,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%,Var <2%,15L-25L,65.8903299422421
Oct-2023,Pune,"Green, Howard and Campbell",Inactive,East,7939,2973709.07,674711.63,2360087.15,951668.06,1348892.94,48552.37,1.898868,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,Var <2%,15L-25L,57.15436991383983
Nov-2023,Pune,"Green, Howard and Campbell",Inactive,East,12895,5460116.92,1397880.47,4180511.16,1899156.83,2172818.89,943417.07,2.930237,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%,Var 2%-3%,35L-45L,51.97495729206474
Dec-2023,Pune,"Green, Howard and Campbell",Inactive,East,14978,4545462.9,902136.2,3717773.22,1175853.75,2477565.23,1122814.79,2.537039,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,Var 2%-3%,35L-45L,66.64110701190106
Jan-2024,Pune,"Green, Howard and Campbell",Inactive,East,7986,3882711.26,983991.68,2974597.4,1244576.61,1675199.59,134168.89,2.088978,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,Var 2%-3%,25L-35L,56.316851147654475
Feb-2024,Pune,"Green, Howard and Campbell",Inactive,East,8624,3153591.94,771151.98,2475787.12,918418.18,1448662.77,-31689.35,2.493751,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,Var 2%-3%,15L-25L,58.51322023195596
Mar-2024,Pune,"Green, Howard and Campbell",Inactive,East,9411,4621786.7,705908.07,4049956.95,1220305.15,2744489.53,1518435.97,2.0503270000000002,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,Var 2%-3%,35L-45L,67.76589390660065
Oct-2023,Bangalore,Duffy-Bowen,Active,East,10654,3825378.98,1029069.36,2857637.94,1125452.63,1681926.91,221519.3,2.533312,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,Var 2%-3%,25L-35L,58.85724312576841
Nov-2023,Bangalore,Duffy-Bowen,Active,East,10040,3863281.18,668145.09,3265318.04,1099046.62,2052475.34,796444.75,2.545245,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var 2%-3%,25L-35L,62.85682787579246
Dec-2023,Bangalore,Duffy-Bowen,Active,East,11131,3529992.4,1002971.91,2591142.18,788319.04,1729451.93,250675.75,2.38001,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,Var 2%-3%,25L-35L,66.74477160492984
Jan-2024,Bangalore,Duffy-Bowen,Active,East,8016,2678110.23,566210.56,2195049.69,785949.22,1261684.01,-95191.58,1.7618189999999998,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,Var <2%,15L-25L,57.47860814941278
Feb-2024,Bangalore,Duffy-Bowen,Active,East,9817,4784722.99,1115177.0,3782097.82,1460116.33,2186838.99,795424.84,2.2819439999999998,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,Var 2%-3%,35L-45L,57.82079401637476
Mar-2024,Bangalore,Duffy-Bowen,Active,East,12656,5252653.47,1165580.44,4212726.21,1995677.52,2100418.0,839830.21,1.772922,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,Var <2%,35L-45L,49.858877489216184
Oct-2023,Bangalore,Scott and Sons,Inactive,South,12636,5763940.68,1262130.46,4612597.64,1471610.55,3060659.58,1760805.88,1.8282599999999998,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var <2%,Above 45L,66.35435862556615
Nov-2023,Bangalore,Scott and Sons,Inactive,South,8549,2867141.64,596542.69,2360126.36,980375.21,1267856.33,-26968.6,2.621372,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,Var 2%-3%,15L-25L,53.7198495592414
Dec-2023,Bangalore,Scott and Sons,Inactive,South,10804,4093584.34,896155.27,3299849.58,1229849.79,1935912.63,555285.15,2.4326470000000002,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,Var 2%-3%,25L-35L,58.66669322545302
Jan-2024,Bangalore,Scott and Sons,Inactive,South,14788,6808781.34,1128930.88,5803687.32,2768582.12,2949621.06,1552420.9,2.919653,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,Var 2%-3%,Above 45L,50.82322491488049
Feb-2024,Bangalore,Scott and Sons,Inactive,South,11214,3458288.2,1021140.23,2545615.89,1119694.72,1363111.6,5698.05,2.693029,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,Var 2%-3%,25L-35L,53.54741873488227
Mar-2024,Bangalore,Scott and Sons,Inactive,South,8256,3375080.18,828280.5,2611709.16,920311.28,1614464.75,359643.55,2.154346,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,Var 2%-3%,25L-35L,61.81640646388053
Oct-2023,Bangalore,Richardson-Wade,Active,South,8304,3755270.65,653457.44,3220712.2,1175103.53,1975205.11,619313.08,1.611208,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,Var <2%,25L-35L,61.32820902159466
Nov-2023,Bangalore,Richardson-Wade,Active,South,10895,4362467.42,735979.26,3683329.5,1084522.06,2545900.3,1285225.86,2.272981,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var 2%-3%,35L-45L,69.11953709273091
Dec-2023,Bangalore,Richardson-Wade,Active,South,13354,4162577.82,833080.62,3400534.47,1209211.08,2132463.35,680530.23,1.7244709999999999,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,Var <2%,25L-35L,62.70965252118147
Jan-2024,Bangalore,Richardson-Wade,Active,South,9097,3029836.11,772722.72,2375941.74,1053356.34,1234893.98,-143262.42,1.944121,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var <2%,15L-25L,51.97492679260729
Feb-2024,Bangalore,Richardson-Wade,Active,South,13868,4351661.95,689991.72,3769425.29,1648811.51,1992942.72,778945.72,1.8375869999999999,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,Var <2%,35L-45L,52.871261974262396
Mar-2024,Bangalore,Richardson-Wade,Active,South,11991,5094797.11,1142111.72,4003105.0,1925826.26,2008977.2,674851.09,1.281919,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,Var <2%,35L-45L,50.18547352617531
Oct-2023,Mumbai,"Hall, Smith and Brown",Active,North,13165,6187485.15,1549057.64,4715248.01,2132845.57,2527206.78,1222453.21,1.130409,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,Var <2%,Above 45L,53.59647625406664
Nov-2023,Mumbai,"Hall, Smith and Brown",Active,North,12373,4562328.94,877630.74,3748487.96,1422283.63,2257532.0,915166.19,2.014102,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var 2%-3%,35L-45L,60.22513675087274
Dec-2023,Mumbai,"Hall, Smith and Brown",Active,North,9267,3154515.84,560348.4,2658897.92,1222921.11,1335456.13,-183966.2,1.374824,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,Var <2%,25L-35L,50.22592706379642
Jan-2024,Mumbai,"Hall, Smith and Brown",Active,North,14644,5261559.27,1513914.76,3872968.56,1310610.56,2424375.81,1104215.07,1.062231,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var <2%,35L-45L,62.59735323025705
Feb-2024,Mumbai,"Hall, Smith and Brown",Active,North,9940,4326240.99,859907.9,3582631.09,1227691.14,2235524.89,869294.07,1.894111,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var <2%,35L-45L,62.39896974711957
Mar-2024,Mumbai,"Hall, Smith and Brown",Active,North,9597,3314286.3,686858.63,2700150.54,799769.83,1837635.31,289089.7,1.092247,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,Var <2%,25L-35L,68.05677249387733
Oct-2023,Mumbai,Hammond Ltd,Inactive,West,13816,5440099.64,1061851.9,4479276.86,2051554.62,2318400.08,987682.82,2.3384009999999997,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var 2%-3%,35L-45L,51.758356370050315
Nov-2023,Mumbai,Hammond Ltd,Inactive,West,7976,2495988.53,732257.32,1872789.53,643266.55,1162464.79,-318993.94,1.005842,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var <2%,15L-25L,62.07129906370204
Dec-2023,Mumbai,Hammond Ltd,Inactive,West,13716,5410943.77,848691.98,4637889.11,1923434.32,2643755.53,1500525.05,1.690446,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%,Var <2%,Above 45L,57.003422619563224
Jan-2024,Mumbai,Hammond Ltd,Inactive,West,7182,3410333.23,764023.73,2696915.27,1000036.89,1575475.12,206995.33,1.24205,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,Var <2%,25L-35L,58.41767212805318
Feb-2024,Mumbai,Hammond Ltd,Inactive,West,9459,3877402.36,1105246.53,2868501.67,1318317.1,1449969.21,165782.98,2.616045,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,Var 2%-3%,25L-35L,50.5479646452498
Mar-2024,Mumbai,Hammond Ltd,Inactive,West,8150,3004362.79,779259.67,2301554.62,795493.25,1411419.42,-89328.25,1.691755,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,Var <2%,15L-25L,61.32461110134331
Oct-2023,Ahmedabad,Aguirre-Goodman,Active,East,10219,3760119.53,855750.21,3014886.72,1358839.67,1521874.71,215856.18,1.975702,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,Var <2%,25L-35L,50.47866972593915
Nov-2023,Ahmedabad,Aguirre-Goodman,Active,East,11009,5284503.15,884735.98,4522031.72,1567075.1,2866008.43,1504175.25,2.115418,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,Var 2%-3%,Above 45L,63.378777670316744
Dec-2023,Ahmedabad,Aguirre-Goodman,Active,East,8522,2838238.55,673933.11,2246837.04,773101.14,1344483.76,8219.14,1.9335639999999998,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,Var <2%,15L-25L,59.83895298432502
Jan-2024,Ahmedabad,Aguirre-Goodman,Active,East,12113,5920936.38,1020292.18,5010709.73,1741787.84,3142742.07,1693353.4,2.78618,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%,Var 2%-3%,Above 45L,62.720497481301905
Feb-2024,Ahmedabad,Aguirre-Goodman,Active,East,13290,4816027.75,907373.99,4036270.42,1190512.32,2743035.48,1239594.72,1.011332,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%,Var <2%,35L-45L,67.95965568630062
Mar-2024,Ahmedabad,Aguirre-Goodman,Active,East,11743,5328792.05,1325702.63,4036739.1,1517571.09,2462567.03,1137838.83,1.464769,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,Var <2%,35L-45L,61.00386893965973
Oct-2023,Ahmedabad,Rice-Chan,Active,East,9342,3552400.18,688729.63,2977785.02,980318.25,1926003.96,555172.09,2.833583,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var 2%-3%,25L-35L,64.67908015737147
Nov-2023,Ahmedabad,Rice-Chan,Active,East,13919,4931249.43,1107086.77,3889536.09,1144817.63,2690033.27,1459506.63,2.819886,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,Var 2%-3%,35L-45L,69.16077413232075
Dec-2023,Ahmedabad,Rice-Chan,Active,East,9671,4712332.38,1184072.51,3681454.93,1154919.67,2388984.14,1101634.75,2.541561,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var 2%-3%,35L-45L,64.89239133507469
Jan-2024,Ahmedabad,Rice-Chan,Active,East,11968,3715716.98,985167.16,2799582.79,1291073.5,1390727.97,109649.06,1.535185,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,Var <2%,25L-35L,49.67625801128746
Feb-2024,Ahmedabad,Rice-Chan,Active,East,9100,3982240.89,741825.1,3343141.35,1176440.08,2090033.75,820473.76,1.6641990000000002,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%,Var <2%,25L-35L,62.51706198423228
Mar-2024,Ahmedabad,Rice-Chan,Active,East,11760,5346429.69,1217350.39,4221079.31,1930228.03,2150995.22,794630.69,2.088965,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%,Var 2%-3%,35L-45L,50.95841755221606
Oct-2023,Ahmedabad,"King, Navarro and Smith",Active,North,14310,5899422.12,1572427.26,4456332.68,1531579.99,2822026.17,1379556.55,1.603833,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%,Var <2%,35L-45L,63.326200547486955
Nov-2023,Ahmedabad,"King, Navarro and Smith",Active,North,10809,3765624.92,847606.53,3031700.43,1121945.3,1843180.15,492630.46,1.8739919999999999,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,Var <2%,25L-35L,60.796908947893634
Dec-2023,Ahmedabad,"King, Navarro and Smith",Active,North,14186,4755418.07,865930.99,4011632.53,1473678.68,2391248.58,870051.12,1.092113,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%,Var <2%,35L-45L,59.60786692493991
Jan-2024,Ahmedabad,"King, Navarro and Smith",Active,North,9217,3358066.46,930877.22,2483092.71,780652.53,1612656.52,169893.14,1.480798,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,Var <2%,15L-25L,64.94548163688984
Feb-2024,Ahmedabad,"King, Navarro and Smith",Active,North,14225,6763576.72,2003072.72,4837617.4,2069100.67,2675378.67,1246451.39,1.591389,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,Var <2%,Above 45L,55.30364327695695
Mar-2024,Ahmedabad,"King, Navarro and Smith",Active,North,11207,5278564.69,955744.16,4431700.17,2018360.88,2293977.48,1035332.21,1.6083969999999999,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%,Var <2%,35L-45L,51.76292149746222
Oct-2023,Mumbai,Erickson-Terry,Active,West,10388,4025312.45,1136789.12,3006933.37,1301355.48,1565973.81,287937.09,2.035193,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,Var 2%-3%,25L-35L,52.078766547460944
Nov-2023,Mumbai,Erickson-Terry,Active,West,7976,3911784.19,611659.66,3403653.75,1322322.67,1994403.0,434345.98,2.40234,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,Var 2%-3%,25L-35L,58.59594266896273
Dec-2023,Mumbai,Erickson-Terry,Active,West,8099,3516675.35,757135.4,2857079.8,831972.1,1962669.42,475450.53,1.453455,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var <2%,25L-35L,68.69494579745376
